	dtm	0.1	0.2	0.3	0.4	0.5
1165	2019-12-25 06:30:00	0.016330159936145856	1.8687874237908186e-06	9.251827705104485e-07	1.1559529241228856e-06	1.2250656386190536e-06
1166	2019-12-25 07:00:00	0.016915454175801536	1.930805279462959e-06	7.402630839268666e-07	2.169819934635877e-06	1.1504569978668065e-06
1167	2019-12-25 07:30:00	0.027885458982008466	1.1479352267809698e-05	4.670289169664629e-06	3.403679360420965e-06	3.706126379420026e-06
1168	2019-12-25 08:00:00	0.05111784909084273	3.6159131254567964e-06	1.2323999157363252e-06	9.669027632241653e-07	9.589637192624746e-07
1169	2019-12-25 08:30:00	0.011300493877184965	2.5278869652114337e-05	1.0721296975630627e-05	6.029879475005186e-06	5.241671527684912e-06
1170	2019-12-25 09:00:00	0.012283091786937974	5.019981564802909e-06	2.341704657218132e-06	2.0578762727776763e-06	2.08383130544404e-06
1171	2019-12-25 09:30:00	0.009789371344416646	7.865459390368077e-06	3.25215884031166e-06	2.595453118331582e-06	2.662830235689061e-06
1172	2019-12-25 10:00:00	0.05599944573234177	1.563169041717714e-05	6.98247090834421e-06	4.833128123429272e-06	4.064699956629408e-06
1173	2019-12-25 10:30:00	0.007473415210016843	4.502569703809728e-06	2.135266152338432e-06	1.7262478664015225e-06	1.3130907591088872e-06
1174	2019-12-25 11:00:00	0.032978424015827526	1.586933380378094e-05	6.2905636733149025e-06	4.20415654536455e-06	3.7518411483856774e-06
1175	2019-12-25 11:30:00	0.009446443837598429	8.542457064386292e-06	4.335533036097063e-06	3.480436330498336e-06	2.591599405825499e-06
1176	2019-12-25 12:00:00	0.03220401395760639	1.2755963829539136e-06	1.0079218100887286e-06	1.231698813519897e-06	6.633383811106558e-07
1177	2019-12-25 12:30:00	0.013009437850432246	1.5318616036596939e-06	8.71840167669343e-07	8.741944812580373e-07	9.731805512000117e-07
1178	2019-12-25 13:00:00	0.017558365305923265	1.6844035096204016e-05	6.5706841181017005e-06	4.658668247502064e-06	4.819971813185348e-06
